
rand
Overlap3908,Degree,PageRank,k-core
10%,0.053526461254990276,0.04747159381717678,0.043479373528508544

bfs
Overlap19538,Degree,PageRank,k-core
100%,0.1943904186713071,0.15513358583273626,0.19265022008393903
90%,0.20166342512027846,0.16526938956563278,0.18983007472617466
80%,0.2076398130139558,0.17532671375439313,0.19009281059132635
70%,0.21282969938922447,0.18409253761899885,0.18552393626096159
60%,0.21770737366499474,0.19339065752209367,0.1802965161906712
50%,0.22239055515747091,0.20289009451666837,0.1747892994847647
40%,0.22645954891322892,0.21173269184836385,0.17162282048657315
30%,0.23047736035759378,0.2208619101238612,0.1673610400245675
20%,0.22621046166444875,0.22201351213020779,0.16188794485958988
10%,0.19138601699252739,0.18237110587914146,0.15452792848125022

dfs
Overlap19538,Degree,PageRank,k-core
100%,0.1943904186713071,0.15513358583273626,0.19265022008393903
90%,0.19826491964377116,0.16324257003446277,0.191679462244515
80%,0.20524277476370836,0.17018630361347123,0.19508137987511515
70%,0.2075425666223087,0.17685535878800282,0.19125635513699799
60%,0.21099907871839488,0.18406182823216297,0.18660217695431125
50%,0.2124850718258437,0.1905346845463541,0.1813508718053707
40%,0.21079264339577575,0.1957842836182482,0.17488313372231887
30%,0.20725935783259974,0.19902583000648308,0.1548401405807486
20%,0.19656396082847097,0.19660831883167842,0.15548162555020986
10%,0.16788480567782443,0.17351827208516737,0.13191728938478864

sec
Overlap19538,Degree,PageRank,k-core
100%,0.1943904186713071,0.15513358583273626,0.19265022008393903
