#dfs
#Overlap39077,Degree,PageRank,k-core
100,0.2368912659620748,0.19602323617473189,0.23167080379763044
90,0.24130989243459494,0.2027040629185113,0.21214439866588194
80,0.24419991299229726,0.20865044228915558,0.2122689391031382
70,0.2460356049167882,0.21406112717625883,0.2217399834514761
60,0.2448439405959175,0.21879963490885515,0.2213254173384174
50,0.24436028013068212,0.22264674019670558,0.21984116829166347
40,0.24196500925523112,0.22359273570983787,0.21287287492216217
30,0.23435354129880323,0.22160947189736505,0.1972575513302795
20,0.21699891666879922,0.20948725166551513,0.1817667681756532
10,0.1783188747003779,0.17358377903455574,0.1560321075483447
